연도,순위,선수명,팀명,G,SBA,SB,CS,SB%,OOB,PKO,SB_pct_calc
2022,1,박찬호,KIA,130,50,42,8,84.0,7,0,84.0
2022,2,김혜성,키움,129,41,34,7,82.9,4,1,82.92682926829268
2022,3,최지훈,SSG,144,38,31,7,81.6,5,3,81.57894736842105
2022,4,김지찬,삼성,113,29,25,4,86.2,3,0,86.20689655172413
2022,5,박해민,LG,144,30,24,6,80.0,8,1,80.0
2022,6,심우준,KT,132,25,23,2,92.0,3,0,92.0
2022,7,조수행,두산,117,29,22,7,75.9,2,0,75.86206896551724
2022,8,박민우,NC,104,25,21,4,84.0,9,1,84.0
2022,9,오지환,LG,142,27,20,7,74.1,5,2,74.07407407407408
2022,9,하주석,한화,125,26,20,6,76.9,7,0,76.92307692307693
2022,11,배정대,KT,144,23,19,4,82.6,9,2,82.6086956521739
2022,11,터크먼,한화,144,30,19,11,63.3,2,1,63.33333333333333
2022,13,노수광,한화,117,23,17,6,73.9,8,3,73.91304347826086
2022,14,정수빈,두산,127,23,15,8,65.2,4,1,65.21739130434783
2022,14,피렐라,삼성,141,20,15,5,75.0,5,2,75.0
2022,14,추신수,SSG,112,20,15,5,75.0,5,1,75.0
2022,17,김기환,NC,73,16,14,2,87.5,1,3,87.5
2022,18,강승호,두산,134,18,13,5,72.2,2,1,72.22222222222221
2022,18,홍창기,LG,118,17,13,4,76.5,1,0,76.47058823529412
2022,18,김도영,KIA,103,16,13,3,81.3,7,0,81.25
2022,18,김선빈,KIA,140,15,13,2,86.7,10,0,86.66666666666667
2022,22,이용규,키움,86,14,12,2,85.7,7,0,85.71428571428571
2022,22,박성한,SSG,140,20,12,8,60.0,2,0,60.0
2022,22,최정,SSG,121,17,12,5,70.6,4,0,70.58823529411765
2022,22,마티니,NC,139,16,12,4,75.0,5,0,75.0
2022,22,소크라테스,KIA,127,19,12,7,63.2,5,1,63.1578947368421
2022,27,구자욱,삼성,99,12,11,1,91.7,4,1,91.66666666666666
2022,27,오태곤,SSG,130,15,11,4,73.3,1,0,73.33333333333333
2022,29,허경민,두산,121,13,10,3,76.9,6,1,76.92307692307693
2022,29,김성윤,삼성,48,12,10,2,83.3,1,1,83.33333333333334
2022,29,김주원,NC,96,13,10,3,76.9,2,1,76.92307692307693
2022,29,황성빈,롯데,102,22,10,12,45.5,0,3,45.45454545454545
2022,29,정은원,한화,140,16,10,6,62.5,4,0,62.5
2022,34,문성주,LG,106,15,9,6,60.0,6,1,60.0
2022,35,서건창,LG,77,11,8,3,72.7,2,0,72.72727272727273
2022,35,박승욱,롯데,100,10,8,2,80.0,5,0,80.0
2022,35,류지혁,KIA,127,12,8,4,66.7,4,0,66.66666666666666
2022,38,문보경,LG,126,7,7,0,100.0,5,2,100.0
2022,38,박준영,NC,75,9,7,2,77.8,2,0,77.77777777777779
2022,38,손아섭,NC,138,10,7,3,70.0,6,0,70.0
2022,38,안치홍,롯데,132,9,7,2,77.8,4,0,77.77777777777779
2022,38,피터스,롯데,85,11,7,4,63.6,4,1,63.63636363636363
2022,43,김민혁,KT,132,15,6,9,40.0,3,1,40.0
2022,43,황재균,KT,141,9,6,3,66.7,3,1,66.66666666666666
2022,43,김현준,삼성,118,9,6,3,66.7,6,0,66.66666666666666
2022,43,채은성,LG,126,13,6,7,46.2,3,0,46.15384615384615
2022,43,푸이그,키움,126,9,6,3,66.7,12,1,66.66666666666666
2022,43,최승민,NC,44,9,6,3,66.7,1,0,66.66666666666666
2022,43,전준우,롯데,120,9,6,3,66.7,2,0,66.66666666666666
2022,43,나성범,KIA,144,7,6,1,85.7,5,0,85.71428571428571
2022,43,노시환,한화,115,8,6,2,75.0,2,1,75.0
2022,43,박정현,한화,81,7,6,1,85.7,3,0,85.71428571428571
2022,53,박병호,KT,124,8,5,3,62.5,3,0,62.5
2022,53,알포드,KT,80,6,5,1,83.3,6,1,83.33333333333334
2022,53,조용호,KT,131,9,5,4,55.6,4,0,55.55555555555556
2022,53,박계범,두산,77,8,5,3,62.5,3,0,62.5
2022,53,이정후,키움,142,5,5,0,100.0,1,1,100.0
2022,53,이명기,NC,94,9,5,4,55.6,5,0,55.55555555555556
2022,59,권동진,KT,48,4,4,0,100.0,1,0,100.0
2022,59,홍현빈,KT,61,4,4,0,100.0,0,0,100.0
2022,59,강진성,두산,40,4,4,0,100.0,1,0,100.0
2022,59,안재석,두산,99,4,4,0,100.0,4,0,100.0
2022,59,강한울,삼성,94,6,4,2,66.7,0,0,66.66666666666666
2022,59,김재혁,삼성,15,4,4,0,100.0,0,1,100.0
2022,59,가르시아,LG,39,5,4,1,80.0,2,2,80.0
2022,59,장두성,롯데,53,5,4,1,80.0,3,1,80.0
2022,59,정훈,롯데,91,5,4,1,80.0,2,0,80.0
2022,68,안권수,두산,76,7,3,4,42.9,3,0,42.85714285714285
2022,68,전민재,두산,35,3,3,0,100.0,1,0,100.0
2022,68,김헌곤,삼성,80,4,3,1,75.0,3,0,75.0
2022,68,이재원,LG,85,4,3,1,75.0,4,1,75.0
2022,68,김성현,SSG,130,6,3,3,50.0,5,0,50.0
2022,68,라가레스,SSG,49,4,3,1,75.0,3,0,75.0
2022,68,최상민,SSG,27,4,3,1,75.0,0,0,75.0
2022,68,박건우,NC,111,6,3,3,50.0,4,0,50.0
2022,68,서호철,NC,89,4,3,1,75.0,1,0,75.0
2022,68,양의지,NC,130,4,3,1,75.0,7,0,75.0
2022,68,렉스,롯데,56,3,3,0,100.0,5,0,100.0
2022,68,신윤후,롯데,49,4,3,1,75.0,0,0,75.0
2022,68,이호연,롯데,88,4,3,1,75.0,4,0,75.0
2022,68,이창진,KIA,111,8,3,5,37.5,4,0,37.5
2022,68,김태연,한화,119,5,3,2,60.0,6,0,60.0
2022,68,이도윤,한화,80,5,3,2,60.0,2,0,60.0
2022,84,김준태,KT,98,2,2,0,100.0,2,0,100.0
2022,84,라모스,KT,18,2,2,0,100.0,1,0,100.0
2022,84,오윤석,KT,112,3,2,1,66.7,1,0,66.66666666666666
2022,84,이시원,KT,31,2,2,0,100.0,0,0,100.0
2022,84,김대한,두산,51,3,2,1,66.7,2,0,66.66666666666666
2022,84,김재환,두산,128,3,2,1,66.7,5,0,66.66666666666666
2022,84,박세혁,두산,128,4,2,2,50.0,4,0,50.0
2022,84,김상수,삼성,72,3,2,1,66.7,3,0,66.66666666666666
2022,84,김성표,삼성,17,2,2,0,100.0,1,0,100.0
2022,84,박승규,삼성,62,2,2,0,100.0,0,1,100.0
2022,84,오선진,삼성,100,4,2,2,50.0,1,0,50.0
2022,84,오재일,삼성,135,3,2,1,66.7,4,0,66.66666666666666
2022,84,최영진,삼성,43,4,2,2,50.0,0,0,50.0
2022,84,김현수,LG,141,3,2,1,66.7,2,0,66.66666666666666
2022,84,송찬의,LG,33,3,2,1,66.7,2,0,66.66666666666666
2022,84,신민재,LG,14,4,2,2,50.0,0,0,50.0
2022,84,안상현,SSG,46,2,2,0,100.0,0,0,100.0
2022,84,최경모,SSG,98,2,2,0,100.0,3,0,100.0
2022,84,권희동,NC,82,3,2,1,66.7,1,0,66.66666666666666
2022,84,노진혁,NC,115,2,2,0,100.0,5,0,100.0
2022,84,오태양,NC,15,4,2,2,50.0,0,0,50.0
2022,84,이학주,롯데,91,6,2,4,33.3,2,1,33.33333333333333
2022,84,김호령,KIA,54,3,2,1,66.7,1,0,66.66666666666666
2022,84,김인환,한화,113,2,2,0,100.0,6,0,100.0
2022,84,이진영,한화,70,4,2,2,50.0,2,0,50.0
2022,84,장진혁,한화,41,3,2,1,66.7,1,0,66.66666666666666
2022,110,문상철,KT,28,1,1,0,100.0,0,0,100.0
2022,110,양승혁,KT,11,2,1,1,50.0,0,1,50.0
2022,110,장성우,KT,117,1,1,0,100.0,0,0,100.0
2022,110,장준원,KT,35,1,1,0,100.0,0,0,100.0
2022,110,김인태,두산,83,1,1,0,100.0,3,0,100.0
2022,110,신성현,두산,17,1,1,0,100.0,0,0,100.0
2022,110,양석환,두산,107,1,1,0,100.0,4,0,100.0
2022,110,오재원,두산,18,3,1,2,33.3,0,0,33.33333333333333
2022,110,이유찬,두산,13,2,1,1,50.0,0,0,50.0
2022,110,조민성,삼성,12,1,1,0,100.0,1,0,100.0
2022,110,루이즈,LG,27,1,1,0,100.0,0,0,100.0
2022,110,이상호,LG,60,3,1,2,33.3,0,0,33.33333333333333
2022,110,김주형,키움,55,1,1,0,100.0,1,0,100.0
2022,110,김준완,키움,111,2,1,1,50.0,3,0,50.0
2022,110,김태진,키움,77,3,1,2,33.3,1,0,33.33333333333333
2022,110,이병규,키움,24,1,1,0,100.0,2,0,100.0
2022,110,이지영,키움,137,2,1,1,50.0,3,1,50.0
2022,110,임지열,키움,40,1,1,0,100.0,1,0,100.0
2022,110,김강민,SSG,84,4,1,3,25.0,4,0,25.0
2022,110,이재원,SSG,105,1,1,0,100.0,1,0,100.0
2022,110,하재훈,SSG,60,1,1,0,100.0,1,0,100.0
2022,110,한유섬,SSG,135,2,1,1,50.0,1,0,50.0
2022,110,윤형준,NC,35,1,1,0,100.0,1,0,100.0
2022,110,정진기,NC,39,1,1,0,100.0,0,1,100.0
2022,110,천재환,NC,29,1,1,0,100.0,0,0,100.0
2022,110,고승민,롯데,92,5,1,4,20.0,0,0,20.0
2022,110,정보근,롯데,95,1,1,0,100.0,4,0,100.0
2022,110,추재현,롯데,33,1,1,0,100.0,3,0,100.0
2022,110,한태양,롯데,38,1,1,0,100.0,2,0,100.0
2022,110,고종욱,KIA,62,1,1,0,100.0,1,0,100.0
2022,110,박동원,KIA,123,1,1,0,100.0,5,1,100.0
2022,110,이우성,KIA,80,4,1,3,25.0,1,1,25.0
2022,110,최형우,KIA,132,1,1,0,100.0,3,1,100.0
2022,110,이성곤,한화,41,2,1,1,50.0,1,0,50.0
2022,110,최재훈,한화,114,2,1,1,50.0,1,0,50.0
2022,110,허관회,한화,15,1,1,0,100.0,0,0,100.0
2022,146,강백호,KT,62,0,0,0,,1,0,
2022,146,고명성,KT,1,0,0,0,,0,0,
2022,146,김병희,KT,41,3,0,3,0.0,1,0,0.0
2022,146,김재윤,KT,1,0,0,0,,0,0,
2022,146,김태훈,KT,7,0,0,0,,0,0,
2023,1,정수빈,두산,137,47,39,8,83.0,5,3,82.97872340425532
2023,2,신민재,LG,122,54,37,17,68.5,6,1,68.51851851851852
2023,3,박찬호,KIA,130,38,30,8,78.9,5,1,78.94736842105263
2023,4,박해민,LG,144,38,26,12,68.4,11,2,68.42105263157895
2023,4,박민우,NC,124,33,26,7,78.8,4,1,78.78787878787878
2023,4,류지혁,삼성,132,28,26,2,92.9,7,2,92.85714285714286
2023,4,조수행,두산,126,32,26,6,81.3,4,0,81.25
2023,8,김혜성,키움,137,28,25,3,89.3,6,2,89.28571428571429
2023,8,김도영,KIA,84,29,25,4,86.2,2,2,86.20689655172413
2023,10,문성주,LG,136,38,24,14,63.2,6,2,63.1578947368421
2023,11,홍창기,LG,141,46,23,23,50.0,10,3,50.0
2023,12,최지훈,SSG,117,23,21,2,91.3,4,3,91.30434782608695
2023,13,오태곤,SSG,123,21,20,1,95.2,2,0,95.23809523809524
2023,13,김성윤,삼성,101,24,20,4,83.3,1,0,83.33333333333334
2023,15,알포드,KT,133,21,17,4,81.0,12,1,80.95238095238095
2023,16,오지환,LG,126,23,16,7,69.6,7,2,69.56521739130434
2023,16,김민석,롯데,129,19,16,3,84.2,3,2,84.21052631578947
2023,16,안권수,롯데,95,23,16,7,69.6,2,2,69.56521739130434
2023,19,소크라테스,KIA,142,21,15,6,71.4,3,1,71.42857142857143
2023,19,김주원,NC,127,18,15,3,83.3,6,1,83.33333333333334
2023,19,마틴,NC,118,18,15,3,83.3,9,1,83.33333333333334
2023,19,박승욱,롯데,123,19,15,4,78.9,1,0,78.94736842105263
2023,23,손아섭,NC,140,17,14,3,82.4,4,1,82.35294117647058
2023,24,배정대,KT,97,16,13,3,81.3,3,0,81.25
2023,24,최원준,KIA,67,18,13,5,72.2,1,1,72.22222222222221
2023,24,김지찬,삼성,99,14,13,1,92.9,4,1,92.85714285714286
2023,24,강승호,두산,127,19,13,6,68.4,4,1,68.42105263157895
2023,24,이원석,한화,81,16,13,3,81.3,3,0,81.25
2023,29,에레디아,SSG,122,20,12,8,60.0,5,1,60.0
2023,29,구자욱,삼성,119,16,12,4,75.0,4,2,75.0
2023,29,이유찬,두산,104,17,12,5,70.6,3,1,70.58823529411765
2023,32,하재훈,SSG,77,11,11,0,100.0,0,1,100.0
2023,32,김민혁,KT,113,15,11,4,73.3,5,0,73.33333333333333
2023,32,이도윤,한화,106,14,11,3,78.6,0,0,78.57142857142857
2023,35,도슨,키움,57,11,9,2,81.8,2,0,81.81818181818183
2023,35,문보경,LG,131,17,9,8,52.9,8,2,52.94117647058824
2023,35,이창진,KIA,104,11,9,2,81.8,1,0,81.81818181818183
2023,35,전준우,롯데,138,11,9,2,81.8,7,0,81.81818181818183
2023,35,황성빈,롯데,74,14,9,5,64.3,0,1,64.28571428571429
2023,35,허경민,두산,130,12,9,3,75.0,3,1,75.0
2023,41,최승민,LG,38,11,8,3,72.7,1,1,72.72727272727273
2023,41,이우성,KIA,126,9,8,1,88.9,7,0,88.88888888888889
2023,41,고승민,롯데,94,11,8,3,72.7,2,0,72.72727272727273
2023,41,양의지,두산,129,8,8,0,100.0,7,1,100.0
2023,45,최정,SSG,128,10,7,3,70.0,6,0,70.0
2023,45,오스틴,LG,139,10,7,3,70.0,5,2,70.0
2023,45,안치영,KT,76,8,7,1,87.5,0,0,87.5
2023,45,박건우,NC,130,12,7,5,58.3,5,0,58.333333333333336
2023,45,노진혁,롯데,113,9,7,2,77.8,2,0,77.77777777777779
2023,50,추신수,SSG,112,10,6,4,60.0,4,0,60.0
2023,50,이정후,키움,86,9,6,3,66.7,1,1,66.66666666666666
2023,50,김규성,KIA,99,8,6,2,75.0,0,1,75.0
2023,50,김성욱,NC,93,7,6,1,85.7,0,1,85.71428571428571
2023,50,강민호,삼성,125,7,6,1,85.7,5,0,85.71428571428571
2023,50,피렐라,삼성,139,10,6,4,60.0,7,1,60.0
2023,50,정은원,한화,122,9,6,3,66.7,1,1,66.66666666666666
2023,57,김상수,KT,129,11,5,6,45.5,4,2,45.45454545454545
2023,57,김현준,삼성,109,10,5,5,50.0,4,1,50.0
2023,57,이재현,삼성,143,9,5,4,55.6,8,0,55.55555555555556
2023,57,김태연,한화,91,6,5,1,83.3,3,0,83.33333333333334
2023,57,문현빈,한화,137,6,5,1,83.3,6,3,83.33333333333334
2023,57,이진영,한화,121,5,5,0,100.0,4,1,100.0
2023,57,장진혁,한화,68,9,5,4,55.6,0,0,55.55555555555556
2023,64,김성현,SSG,112,5,4,1,80.0,2,0,80.0
2023,64,박성한,SSG,128,5,4,1,80.0,4,3,80.0
2023,64,임병욱,키움,80,4,4,0,100.0,4,0,100.0
2023,64,이재원,LG,57,6,4,2,66.7,0,0,66.66666666666666
2023,64,이호연,KT,85,6,4,2,66.7,3,0,66.66666666666666
2023,64,조용호,KT,63,4,4,0,100.0,3,0,100.0
2023,64,최정용,KIA,56,4,4,0,100.0,1,0,100.0
2023,64,박영빈,NC,41,6,4,2,66.7,2,0,66.66666666666666
2023,64,서호철,NC,114,9,4,5,44.4,3,1,44.44444444444444
2023,64,최정원,NC,39,5,4,1,80.0,1,0,80.0
2023,64,이성규,삼성,109,7,4,3,57.1,1,0,57.14285714285714
