분류,구분,H,2B,3B,HR,BB,HBP,SO,WP,BK,AVG
주자상황별,주자없음,9,3,0,1,1,0,14,0,0,0.136
주자상황별,1루,2,0,0,0,2,0,0,0,0,0.400
주자상황별,"1,2루",2,1,0,0,0,0,1,0,0,0.286
주자상황별,만루,0,0,0,0,0,0,1,0,0,0.000
주자상황별,2루,1,0,0,0,1,0,0,0,0,0.167
주자상황별,"2,3루",0,0,0,0,1,0,0,0,0,-
주자상황별,3루,1,0,0,0,0,0,0,0,0,0.333
주자상황별,주자있음,6,1,0,0,4,0,2,0,0,0.261
주자상황별,득점권,4,1,0,0,2,0,2,0,0,0.222
볼카운트별,0-0,5,1,0,1,0,0,0,0,0,0.455
볼카운트별,1-0,1,0,0,0,0,0,0,0,0,0.125
볼카운트별,2-0,0,0,0,0,0,0,0,0,0,0.000
볼카운트별,3-0,1,0,0,0,1,0,0,0,0,1.000
볼카운트별,0-1,1,0,0,0,0,0,0,0,0,0.167
볼카운트별,1-1,0,0,0,0,0,0,0,0,0,0.000
볼카운트별,2-1,1,0,0,0,0,0,0,0,0,0.250
볼카운트별,3-1,0,0,0,0,0,0,0,0,0,0.000
볼카운트별,0-2,2,1,0,0,0,0,3,0,0,0.167
볼카운트별,1-2,1,0,0,0,0,0,4,0,0,0.071
볼카운트별,2-2,2,1,0,0,0,0,6,0,0,0.154
볼카운트별,3-2,1,1,0,0,4,0,3,0,0,0.200
이닝별,1회,3,0,0,0,1,0,3,0,0,0.200
이닝별,2회,3,0,0,0,1,0,2,0,0,0.200
이닝별,3회,1,0,0,1,0,0,2,0,0,0.077
이닝별,4회,7,3,0,0,3,0,4,0,0,0.389
이닝별,5회,1,1,0,0,0,0,2,0,0,0.100
이닝별,6회,0,0,0,0,0,0,0,0,0,0.000
이닝별,7회,0,0,0,0,0,0,0,0,0,0.000
이닝별,8회,0,0,0,0,0,0,3,0,0,0.000
이닝별,1~3회,7,0,0,1,2,0,7,0,0,0.163
이닝별,4~6회,8,4,0,0,3,0,6,0,0,0.216
이닝별,7회이후,0,0,0,0,0,0,3,0,0,0.000
타순별,1번타자,0,0,0,0,2,0,1,0,0,0.000
타순별,2번타자,2,0,0,0,0,0,3,0,0,0.167
타순별,3번타자,1,0,0,0,1,0,2,0,0,0.100
타순별,4번타자,2,1,0,0,0,0,1,0,0,0.182
타순별,5번타자,1,1,0,0,0,0,2,0,0,0.091
타순별,6번타자,1,0,0,0,0,0,4,0,0,0.091
타순별,7번타자,3,1,0,0,1,0,2,0,0,0.333
타순별,8번타자,2,0,0,1,1,0,0,0,0,0.286
타순별,9번타자,3,1,0,0,0,0,1,0,0,0.375
타순별,상위(1~2번),2,0,0,0,2,0,4,0,0,0.091
타순별,중심(3~5번),4,2,0,0,1,0,5,0,0,0.125
타순별,하위(6~9번),9,2,0,1,2,0,7,0,0,0.257
타자유형별,좌타자,2,0,0,0,1,0,6,0,0,0.091
타자유형별,우타자,13,4,0,1,4,0,10,0,0,0.194
아웃카운트별,0아웃,2,1,0,0,1,0,6,0,0,0.074
아웃카운트별,1아웃,6,1,0,1,3,0,6,0,0,0.194
아웃카운트별,2아웃,7,2,0,0,1,0,4,0,0,0.226
