분류,구분,H,2B,3B,HR,BB,HBP,SO,WP,BK,AVG
주자상황별,주자없음,16,3,1,2,6,0,11,0,0,0.276
주자상황별,1루,2,1,0,0,3,1,1,3,0,0.143
주자상황별,"1,2루",0,0,0,0,0,0,0,0,0,0.000
주자상황별,2루,0,0,0,0,0,0,3,0,0,0.000
주자상황별,"2,3루",1,1,0,0,0,0,2,0,0,0.250
주자상황별,3루,0,0,0,0,0,0,1,0,0,0.000
주자상황별,주자있음,3,2,0,0,3,1,7,3,0,0.070
주자상황별,득점권,1,1,0,0,0,0,6,0,0,0.034
볼카운트별,0-0,5,1,0,1,0,1,0,0,0,0.278
볼카운트별,1-0,0,0,0,0,0,0,0,2,0,0.000
볼카운트별,2-0,1,1,0,0,0,0,0,0,0,0.500
볼카운트별,3-0,0,0,0,0,1,0,0,0,0,-
볼카운트별,0-1,2,0,1,0,0,0,0,0,0,0.154
볼카운트별,1-1,3,0,0,1,0,0,0,0,0,0.300
볼카운트별,2-1,0,0,0,0,0,0,0,0,0,0.000
볼카운트별,3-1,0,0,0,0,2,0,0,0,0,0.000
볼카운트별,0-2,2,0,0,0,0,0,5,0,0,0.182
볼카운트별,1-2,1,1,0,0,0,0,8,1,0,0.048
볼카운트별,2-2,4,1,0,0,0,0,3,0,0,0.267
볼카운트별,3-2,1,1,0,0,6,0,2,0,0,0.250
이닝별,1회,4,2,1,0,1,0,3,0,0,0.211
이닝별,2회,4,0,0,0,0,1,3,1,0,0.211
이닝별,3회,3,0,0,0,1,0,2,1,0,0.176
이닝별,4회,3,3,0,0,0,0,4,0,0,0.158
이닝별,5회,3,0,0,1,4,0,3,1,0,0.176
이닝별,6회,2,0,0,1,3,0,3,0,0,0.200
이닝별,1~3회,11,2,1,0,2,1,8,2,0,0.200
이닝별,4~6회,8,3,0,2,7,0,10,1,0,0.174
타순별,1번타자,6,0,1,1,1,0,1,0,0,0.462
타순별,2번타자,0,0,0,0,1,0,3,1,0,0.000
타순별,3번타자,4,3,0,0,1,0,3,0,0,0.308
타순별,4번타자,2,2,0,0,0,0,4,1,0,0.143
타순별,5번타자,4,0,0,1,1,0,3,0,0,0.333
타순별,6번타자,0,0,0,0,2,1,0,1,0,0.000
타순별,7번타자,1,0,0,0,2,0,1,0,0,0.111
타순별,8번타자,0,0,0,0,0,0,2,0,0,0.000
타순별,9번타자,2,0,0,0,1,0,1,0,0,0.222
타순별,상위(1~2번),6,0,1,1,2,0,4,1,0,0.231
타순별,중심(3~5번),10,5,0,1,2,0,10,1,0,0.256
타순별,하위(6~9번),3,0,0,0,5,1,4,1,0,0.083
타자유형별,좌타자,12,3,0,1,5,1,6,0,0,0.255
타자유형별,우타자,7,2,1,1,4,0,12,3,0,0.130
아웃카운트별,0아웃,11,3,1,1,2,0,7,0,0,0.282
아웃카운트별,1아웃,6,2,0,1,5,1,7,2,0,0.182
아웃카운트별,2아웃,2,0,0,0,2,0,4,1,0,0.069
