분류,구분,H,2B,3B,HR,BB,HBP,SO,WP,BK,AVG
주자상황별,주자없음,15,5,0,3,6,1,18,0,0,0.250
주자상황별,1루,5,0,0,0,3,0,4,2,0,0.250
주자상황별,"1,2루",2,0,0,0,1,0,1,0,0,0.222
주자상황별,만루,1,0,0,0,0,0,0,0,0,0.500
주자상황별,"1,3루",0,0,0,0,0,0,1,0,0,0.000
주자상황별,2루,3,2,0,0,3,0,1,1,0,0.375
주자상황별,"2,3루",0,0,0,0,1,0,0,0,0,0.000
주자상황별,3루,1,0,0,1,0,0,2,0,0,0.250
주자상황별,주자있음,12,2,0,1,8,0,9,3,0,0.255
주자상황별,득점권,7,2,0,1,5,0,5,1,0,0.259
볼카운트별,0-0,3,0,0,0,0,0,0,0,0,0.600
볼카운트별,1-0,1,0,0,0,0,0,0,1,0,0.125
볼카운트별,2-0,4,1,0,1,0,0,0,1,0,0.667
볼카운트별,3-0,0,0,0,0,3,0,0,0,0,-
볼카운트별,0-1,3,2,0,1,0,1,0,0,0,0.231
볼카운트별,1-1,4,0,0,0,0,0,0,0,0,0.500
볼카운트별,2-1,2,1,0,0,0,0,0,0,0,0.667
볼카운트별,3-1,0,0,0,0,1,0,0,0,0,0.000
볼카운트별,0-2,2,0,0,0,0,0,4,0,0,0.154
볼카운트별,1-2,3,1,0,1,0,0,12,1,0,0.125
볼카운트별,2-2,1,0,0,0,0,0,9,0,0,0.056
볼카운트별,3-2,4,2,0,1,10,0,2,0,0,0.500
이닝별,1회,3,2,0,0,3,0,4,1,0,0.167
이닝별,2회,7,3,0,1,3,0,5,2,0,0.333
이닝별,3회,9,1,0,1,2,0,6,0,0,0.409
이닝별,4회,3,0,0,2,4,1,6,0,0,0.158
이닝별,5회,4,1,0,0,2,0,0,0,0,0.267
이닝별,6회,0,0,0,0,0,0,4,0,0,0.000
이닝별,7회,1,0,0,0,0,0,1,0,0,0.333
이닝별,8회,0,0,0,0,0,0,1,0,0,0.000
이닝별,1~3회,19,6,0,2,8,0,15,3,0,0.311
이닝별,4~6회,7,1,0,2,6,1,10,0,0,0.175
이닝별,7회이후,1,0,0,0,0,0,2,0,0,0.167
타순별,1번타자,4,1,0,0,1,0,3,0,0,0.267
타순별,2번타자,5,2,0,1,0,0,2,1,0,0.357
타순별,3번타자,3,1,0,0,3,1,2,0,0,0.273
타순별,4번타자,4,1,0,1,3,0,3,0,0,0.333
타순별,5번타자,2,0,0,0,3,0,2,0,0,0.182
타순별,6번타자,2,1,0,1,1,0,6,0,0,0.167
타순별,7번타자,2,1,0,1,2,0,6,2,0,0.182
타순별,8번타자,4,0,0,0,0,0,2,0,0,0.364
타순별,9번타자,1,0,0,0,1,0,1,0,0,0.100
타순별,상위(1~2번),9,3,0,1,1,0,5,1,0,0.310
타순별,중심(3~5번),9,2,0,1,9,1,7,0,0,0.265
타순별,하위(6~9번),9,2,0,2,4,0,15,2,0,0.205
타자유형별,좌타자,17,6,0,2,8,0,13,3,0,0.270
타자유형별,우타자,10,1,0,2,6,1,14,0,0,0.227
아웃카운트별,0아웃,10,3,0,2,4,0,6,1,0,0.270
아웃카운트별,1아웃,8,3,0,1,1,1,12,2,0,0.222
아웃카운트별,2아웃,9,1,0,1,9,0,9,0,0,0.265
