분류,구분,H,2B,3B,HR,BB,HBP,SO,WP,BK,AVG
주자상황별,주자없음,12,1,0,0,5,0,9,0,0,0.255
주자상황별,1루,5,1,0,0,2,0,4,1,0,0.278
주자상황별,"1,2루",0,0,0,0,0,1,1,0,0,0.000
주자상황별,만루,0,0,0,0,0,0,0,0,0,0.000
주자상황별,"1,3루",1,0,0,0,0,0,1,0,0,0.250
주자상황별,2루,2,0,0,1,0,0,1,0,0,0.500
주자상황별,"2,3루",0,0,0,0,1,0,0,0,0,0.000
주자상황별,3루,0,0,0,0,0,1,0,0,0,0.000
주자상황별,주자있음,8,1,0,1,3,2,7,1,0,0.242
주자상황별,득점권,3,0,0,1,1,2,3,0,0,0.200
볼카운트별,0-0,3,0,0,1,0,0,0,0,0,0.250
볼카운트별,1-0,1,1,0,0,0,0,0,0,0,0.167
볼카운트별,3-0,0,0,0,0,2,0,0,0,0,-
볼카운트별,0-1,4,0,0,0,0,0,0,0,0,0.571
볼카운트별,1-1,5,1,0,0,0,0,0,0,0,0.357
볼카운트별,2-1,1,0,0,0,0,0,0,0,0,0.500
볼카운트별,3-1,1,0,0,0,2,0,0,0,0,0.500
볼카운트별,0-2,0,0,0,0,0,0,4,0,0,0.000
볼카운트별,1-2,1,0,0,0,0,0,7,0,0,0.083
볼카운트별,2-2,2,0,0,0,0,0,4,1,0,0.143
볼카운트별,3-2,2,0,0,0,4,2,1,0,0,0.400
이닝별,1회,3,0,0,0,1,0,2,1,0,0.200
이닝별,2회,0,0,0,0,1,0,3,0,0,0.000
이닝별,3회,7,1,0,0,2,2,0,0,0,0.389
이닝별,4회,4,0,0,0,1,0,6,0,0,0.286
이닝별,5회,5,0,0,1,1,0,3,0,0,0.417
이닝별,6회,1,1,0,0,2,0,0,0,0,0.167
이닝별,7회,0,0,0,0,0,0,2,0,0,0.000
이닝별,1~3회,10,1,0,0,4,2,5,1,0,0.222
이닝별,4~6회,10,1,0,1,4,0,9,0,0,0.313
이닝별,7회이후,0,0,0,0,0,0,2,0,0,0.000
타순별,1번타자,1,0,0,0,2,0,1,0,0,0.111
타순별,2번타자,3,0,0,1,0,0,1,0,0,0.273
타순별,3번타자,3,1,0,0,0,2,3,0,0,0.333
타순별,4번타자,1,0,0,0,3,0,1,1,0,0.143
타순별,5번타자,2,1,0,0,1,0,2,0,0,0.200
타순별,6번타자,2,0,0,0,0,0,1,0,0,0.200
타순별,7번타자,1,0,0,0,1,0,5,0,0,0.111
타순별,8번타자,4,0,0,0,1,0,0,0,0,0.500
타순별,9번타자,3,0,0,0,0,0,2,0,0,0.429
타순별,상위(1~2번),4,0,0,1,2,0,2,0,0,0.200
타순별,중심(3~5번),6,2,0,0,4,2,6,1,0,0.231
타순별,하위(6~9번),10,0,0,0,2,0,8,0,0,0.294
타자유형별,좌타자,10,0,0,1,5,0,3,1,0,0.278
타자유형별,우타자,10,2,0,0,3,2,13,0,0,0.227
아웃카운트별,0아웃,9,1,0,0,2,1,3,0,0,0.310
아웃카운트별,1아웃,4,0,0,0,0,0,6,0,0,0.167
아웃카운트별,2아웃,7,1,0,1,6,1,7,1,0,0.259
