분류,구분,G,AVG,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP
상대팀별,KT,2,0.125,8,8,0,1,1,0,0,0,0,0,0,0,3,1
상대팀별,LG,3,0.273,12,11,0,3,1,0,0,1,0,0,0,1,3,0
상대팀별,NC,3,0.167,13,12,1,2,0,0,1,1,0,0,1,0,2,0
상대팀별,SSG,3,0.091,13,11,1,1,0,0,1,3,0,0,2,0,1,1
상대팀별,삼성,2,0.444,9,9,1,4,1,0,1,2,0,1,0,0,3,1
상대팀별,키움,3,0.000,8,8,0,0,0,0,0,0,0,0,0,0,3,0
상대팀별,한화,1,0.250,4,4,0,1,0,0,0,0,0,0,0,0,2,0
구장별,고척,3,0.000,8,8,0,0,0,0,0,0,0,0,0,0,3,0
구장별,대구,2,0.444,9,9,1,4,1,0,1,2,0,1,0,0,3,1
구장별,사직,6,0.130,25,23,1,3,1,0,1,3,0,0,2,0,6,2
구장별,잠실,3,0.273,12,11,0,3,1,0,0,1,0,0,0,1,3,0
구장별,창원,3,0.167,13,12,1,2,0,0,1,1,0,0,1,0,2,0
월별,3~4월,17,0.190,67,63,3,12,3,0,3,7,0,1,3,1,17,3
요일별,화,3,0.200,11,10,0,2,1,0,0,0,0,0,1,0,2,0
요일별,수,3,0.077,13,13,1,1,0,0,1,1,0,0,0,0,3,1
요일별,목,2,0.375,9,8,0,3,1,0,0,1,0,0,0,1,3,0
요일별,금,2,0.000,7,7,0,0,0,0,0,1,0,0,0,0,2,0
요일별,토,4,0.200,16,15,1,3,1,0,1,2,0,0,1,0,6,1
요일별,일,3,0.300,11,10,1,3,0,0,1,2,0,1,1,0,1,1
홈/방문별,홈,6,0.130,25,23,1,3,1,0,1,3,0,0,2,0,6,2
홈/방문별,방문,11,0.225,42,40,2,9,2,0,2,4,0,1,1,1,11,1
주/야간별,주간,4,0.333,16,15,2,5,1,0,2,4,0,1,1,0,3,1
주/야간별,야간,13,0.146,51,48,1,7,2,0,1,3,0,0,2,1,14,2
기간별,전반기,17,0.190,67,63,3,12,3,0,3,7,0,1,3,1,17,3
